url,full_title_tesim,spotlight_upload_attribution_tesim,spotlight_upload_date_tesim
http://library.ucsd.edu/dc/object/bb9659836d/_2.jpg,Ted Forbes talks with landscaping staff,,"June, 1965"
http://library.ucsd.edu/dc/object/bb9625708r/_2.jpg,Ted Forbes and George Crozier on the Matthews campus tennis courts,,"December, 1964"
http://library.ucsd.edu/dc/object/bb98304867/_2.jpg,"View of La Jolla Shores from La Jolla Cove, facing northeast",,"December, 1964"
http://library.ucsd.edu/dc/object/bb9830487r/_2.jpg,Galbraith Hall building site,,"January, 1964"
http://library.ucsd.edu/dc/object/bb9045500d/_2.jpg,Students and faculty stand for invocation at Chancellor Galbraith's inauguration ceremony,,"November 5, 1965"
http://library.ucsd.edu/dc/object/bb90796298/_2.jpg,UCSD's first student election posters,,"December, 1964"
http://library.ucsd.edu/dc/object/bb8362896f/_2.jpg,Howard Warshaw painting a mural in the Revelle Cafeteria,,"August, 1966"
http://library.ucsd.edu/dc/object/bb8874847g/_2.jpg,"Camp Matthews, Central Services Building 251",,"June, 1965"
http://library.ucsd.edu/dc/object/bb88748480/_2.jpg,Students and faculty stand for invocation at Chancellor Galbraith's inauguration ceremony,,"November 5, 1965"
http://library.ucsd.edu/dc/object/bb8908977q/_2.jpg,Student Senate meeting,,"February, 1965"
http://library.ucsd.edu/dc/object/bb8772458h/_2.jpg,Revelle Commons under construction,,"February, 1965"
http://library.ucsd.edu/dc/object/bb87724591/_2.jpg,UCSD student announcement bulletin board,,"December, 1964"
http://library.ucsd.edu/dc/object/bb8670067h/_2.jpg,Revelle College dedication sign,,"October 1, 1965"
http://library.ucsd.edu/dc/object/bb8704197r/_2.jpg,Chancellor John Galbraith's inauguration ceremony,,"November 5, 1965"
http://library.ucsd.edu/dc/object/bb85335496/_2.jpg,Students talk in doorway of the Student Affairs Office,,"April, 1965"
http://library.ucsd.edu/dc/object/bb8567676b/_2.jpg,Plaza between Bonner and Mayer Halls,,"June, 1965"
http://library.ucsd.edu/dc/object/bb8567677v/_2.jpg,UCSD administrative assistant,,"April, 1965"
http://library.ucsd.edu/dc/object/bb82263782/_2.jpg,Galbraith Hall building under construction,,"May, 1965"
http://library.ucsd.edu/dc/object/bb82605073/_2.jpg,"""Tree One Year Later"" [title slide]",,"July, 1975"
http://library.ucsd.edu/dc/object/bb81239895/_2.jpg,Birdseye view of the Bonner Hall building dedication ceremony taken from Urey Hall,,"May 7, 1965"
http://library.ucsd.edu/dc/object/bb81239900/_2.jpg,UCSD faculty at Chancellor Galbraith's inauguration ceremony,,"November 5, 1965"
http://library.ucsd.edu/dc/object/bb8328770w/_2.jpg,Campus events bulletin board kiosk near the Revelle College Residence Halls,,"November, 1965"
http://library.ucsd.edu/dc/object/bb9420927b/_2.jpg,"Elizabeth Heller, the first watermelon queen, preparing to drop the watermelon",,"June 4, 1965"
http://library.ucsd.edu/dc/object/bb9420928v/_2.jpg,Pedestrian bridge over Highway 101 looking north,,"February, 1965"
http://library.ucsd.edu/dc/object/bb9386800q/_2.jpg,Students playing tennis on Matthews campus tennis courts,,"December, 1964"
http://library.ucsd.edu/dc/object/bb9455057z/_2.jpg,Carl Eckart and student from the class of 1968 plant a tree,,"June, 1965"
http://library.ucsd.edu/dc/object/bb9523317r/_2.jpg,Chancellor John Galbraith addresses parents and students at UCSD Welcome Day event,,"September 26, 1965"
http://library.ucsd.edu/dc/object/bb9728098j/_2.jpg,Parents and students observing a display from the Division of Oceanic Research,,"September 26, 1965"
http://library.ucsd.edu/dc/object/bb97280992/_2.jpg,Freshmen at Welcome Day registration tables in front of Galbraith Hall,,"September 26, 1965"
http://library.ucsd.edu/dc/object/bb9557448z/_2.jpg,Students eating watermelon at Watermelon Drop,,"June 4, 1965"
http://library.ucsd.edu/dc/object/bb9147889f/_2.jpg,Students eating watermelon at Watermelon Drop,,"June 4, 1965"
http://library.ucsd.edu/dc/object/bb9113757q/_2.jpg,Revelle Commons under construction,,"April, 1965"
http://library.ucsd.edu/dc/object/bb9182018d/_2.jpg,"""The Office Crew"" [title slide]",,"July, 1975"
http://library.ucsd.edu/dc/object/bb9182019x/_2.jpg,Students in front of bookstore,,"June, 1965"
http://library.ucsd.edu/dc/object/bb9216146m/_2.jpg,Parents and students at UCSD Welcome Day event,,"September 26, 1965"
http://library.ucsd.edu/dc/object/bb8840719t/_2.jpg,Roger Revelle speaking at the Revelle College dedication ceremony,,"October 1, 1965"
http://library.ucsd.edu/dc/object/bb88065877/_2.jpg,Students at UCSD's Constitutional Convention,,"November 20, 1964"
http://library.ucsd.edu/dc/object/bb84994186/_2.jpg,"""Student Senate 1965"" [title slide]",,"June, 1975"
http://library.ucsd.edu/dc/object/bb27314466/_2.jpg,UCSD student addresses parents and students at UCSD Welcome Day event,,"September 26, 1965"
http://library.ucsd.edu/dc/object/bb26973177/_2.jpg,Bonner Hall building dedication ceremony audience,,"May 7, 1965"
http://library.ucsd.edu/dc/object/bb2697318r/_2.jpg,Students watch the Bonner Hall building dedication ceremony,,"May 7, 1965"
http://library.ucsd.edu/dc/object/bb2594929v/_2.jpg,Revelle Commons under construction,,"February, 1965"
http://library.ucsd.edu/dc/object/bb2629056g/_2.jpg,"Future site of John Muir College, looking north across foundations of Camp Callan buildings with the Salk Institute for Biological Studies under construction",,"January, 1964"
http://library.ucsd.edu/dc/object/bb26631919/_2.jpg,Carl Eckart and student from the class of 1968 plant a tree,,"June, 1965"
http://library.ucsd.edu/dc/object/bb25266662/_2.jpg,"Interstate 5 freeway and Scripps Hospital, looking northeast",,"October, 1966"
http://library.ucsd.edu/dc/object/bb2492539c/_2.jpg,Students watch the Bonner Hall building dedication ceremony,,"May 7, 1965"
http://library.ucsd.edu/dc/object/bb24584108/_2.jpg,Chancellor John Galbraith speaks at his inauguration ceremony,,"November 5, 1965"
http://library.ucsd.edu/dc/object/bb2356020s/_2.jpg,Speakers at Chancellor John S. Galbraith's inauguration ceremony,,"November 5, 1965"
http://library.ucsd.edu/dc/object/bb2390147v/_2.jpg,Looking west from the Miramar Road bridge over Interstate 5 freeway,,"October, 1966"
http://library.ucsd.edu/dc/object/bb2390148c/_2.jpg,"Revelle College dedication ceremony podium, between Bonner and Mayer Hall",,"October 1, 1965"
http://library.ucsd.edu/dc/object/bb22877576/_2.jpg,Students eating watermelon at Watermelon Drop,,"June 4, 1965"
http://library.ucsd.edu/dc/object/bb2424276k/_2.jpg,Student officials at the Constitutional Convention,,"November 20, 1964"
http://library.ucsd.edu/dc/object/bb2253630c/_2.jpg,First and only UCSD school bus in front of Urey Hall,,"December, 1964"
http://library.ucsd.edu/dc/object/bb23218886/_2.jpg,"Bonner Hall from Urey Hall, with Camp Matthews in the background",,"September, 1965"
http://library.ucsd.edu/dc/object/bb1639288x/_2.jpg,"Future site of John Muir College, looking north across foundations of Camp Callan buildings with the Salk Institute for Biological Studies under construction",,"January, 1964"
http://library.ucsd.edu/dc/object/bb1571027g/_2.jpg,Revelle College Provost Edward D. Goldberg addressing parents and students at UCSD Welcome Day event,,"September 26, 1965"
http://library.ucsd.edu/dc/object/bb15368970/_2.jpg,Students view the point of watermelon impact,,"June 4, 1965"
http://library.ucsd.edu/dc/object/bb1741678n/_2.jpg,UCSD campus events bulletin board in front of Discovery Hall,,"November, 1965"
http://library.ucsd.edu/dc/object/bb17416795/_2.jpg,"""Ye ol Swimin Hole Begins"" [title slide]",,"July, 1975"
http://library.ucsd.edu/dc/object/bb1434506m/_2.jpg,Dr. Ted Forbes pointing toward future building sites on Camp Matthews,,"December, 1964"
http://library.ucsd.edu/dc/object/bb14345074/_2.jpg,Chancellor John Galbraith's inauguration ceremony,,"November 5, 1965"
http://library.ucsd.edu/dc/object/bb1400380p/_2.jpg,Program for Chancellor John S. Galbraith's inauguration ceremony,,"November 5, 1965"
http://library.ucsd.edu/dc/object/bb1468638b/_2.jpg,UCSD administrative assistant,,"April, 1965"
http://library.ucsd.edu/dc/object/bb17075502/_2.jpg,Camp Matthews quonset huts,,"June, 1965"
http://library.ucsd.edu/dc/object/bb1673417z/_2.jpg,"""Watermelon Drop 1965"" [title slide]",,June 1975
http://library.ucsd.edu/dc/object/bb1366248v/_2.jpg,Students check a list,,"June, 1965"
http://library.ucsd.edu/dc/object/bb13321164/_2.jpg,Carl Eckart and student from the class of 1968 plant a tree,,"June, 1965"
http://library.ucsd.edu/dc/object/bb31410084/_2.jpg,Dean of Student Affairs Ted Forbes and administrative assistant,,"April, 1965"
http://library.ucsd.edu/dc/object/bb31068800/_2.jpg,Quonset huts at Camp Matthews,,"October, 1966"
http://library.ucsd.edu/dc/object/bb3004490h/_2.jpg,Students and a staff member gather to measure the watermelon splat in the first annual watermelon drop,,"June 4, 1965"
http://library.ucsd.edu/dc/object/bb3038617z/_2.jpg,"Students, staff and parents gathered in front of Galbraith Hall",,"September 26, 1965"
http://library.ucsd.edu/dc/object/bb29703582/_2.jpg,Looking northeast from Gilman Drive toward Camp Matthews and Scripps Hospital,,"November, 1964"
http://library.ucsd.edu/dc/object/bb3072747w/_2.jpg,"Group of students and the watermelon queen, Elizabeth Heller, gathered for the first annual watermelon drop",,"June 4, 1965"
http://library.ucsd.edu/dc/object/bb2867970r/_2.jpg,Galbraith Hall and Revelle College Residence Halls,,"September, 1965"
http://library.ucsd.edu/dc/object/bb2902098t/_2.jpg,Bonner Hall under construction,,"January, 1964"
http://library.ucsd.edu/dc/object/bb2799709r/_2.jpg,"Bonner Hall, under construction, from Urey Hall, facing northeast",,"January, 1964"
http://library.ucsd.edu/dc/object/bb3209270d/_2.jpg,"Future site of John Muir College, looking north across foundations of Camp Callan buildings with the Salk Institute for Biological Studies in the background",,"October, 1966"
http://library.ucsd.edu/dc/object/bb0205829r/_2.jpg,Student handing out programs for the Revelle College dedication ceremony,,"October 1, 1965"
http://library.ucsd.edu/dc/object/bb0171697v/_2.jpg,Urey Hall and Mayer Hall,,"January, 1964"
http://library.ucsd.edu/dc/object/bb0239959f/_2.jpg,Urey Hall parking lot,,"January, 1964"
http://library.ucsd.edu/dc/object/bb02740878/_2.jpg,Chancellor John Galbraith's inauguration ceremony,,"November 5, 1965"
http://library.ucsd.edu/dc/object/bb03082174/_2.mp4,"University of California, San Diego: The Beginning [Reel #2]",,1963-1967
http://library.ucsd.edu/dc/object/bb0342351f/_2.jpg,Students watch as a commemorative tree is planted by class of 1968,,"June, 1965"
http://library.ucsd.edu/dc/object/bb0376477r/_2.jpg,Howard Warshaw painting a mural in the Revelle Cafeteria,,"August, 1966"
http://library.ucsd.edu/dc/object/bb0444740d/_2.jpg,"""First Class Plants a Tree"" [title slide]",,"July, 1975"
http://library.ucsd.edu/dc/object/bb0410608c/_2.jpg,Group of students gathered for the first annual watermelon drop,,"June 4, 1965"
http://library.ucsd.edu/dc/object/bb05129966/_2.jpg,Students fill the trunk and back rear seat of a La Jolla Cab,,"December, 1964"
http://library.ucsd.edu/dc/object/bb0478866q/_2.jpg,Howard Warshaw painting a mural in the Revelle Cafeteria,,"August, 1966"
